nutrient_id	name	normalized_norm	normalized_norm_no_commas	normalized_norm_no_paren	normalized_norm_compact	is_added_by_expansion	parent_generic_id	parent_generic_compact	rule
240279	Kaempferol 3-O-(6''-acetyl-galactoside) 7-O-rhamnoside	kaempferol 3-o-(6''-acetyl-galactoside) 7-o-rhamnoside	kaempferol 3-o-(6''-acetyl-galactoside) 7-o-rhamnoside	kaempferol 3-o-7-o-rhamnoside	kaempferol 3 o 6 acetyl galactoside 7 o rhamnoside	0			
240280	Kaempferol 3-O-acetyl-glucoside	kaempferol 3-o-acetyl-glucoside	kaempferol 3-o-acetyl-glucoside	kaempferol 3-o-acetyl-glucoside	kaempferol 3 o acetyl glucoside	0			
240281	Kaempferol 3-O-galactoside	kaempferol 3-o-galactoside	kaempferol 3-o-galactoside	kaempferol 3-o-galactoside	kaempferol 3 o galactoside	0			
240282	Kaempferol 3-O-galactoside 7-O-rhamnoside	kaempferol 3-o-galactoside 7-o-rhamnoside	kaempferol 3-o-galactoside 7-o-rhamnoside	kaempferol 3-o-galactoside 7-o-rhamnoside	kaempferol 3 o galactoside 7 o rhamnoside	0			
240283	Kaempferol 3-O-glucoside	kaempferol 3-o-glucoside	kaempferol 3-o-glucoside	kaempferol 3-o-glucoside	kaempferol 3 o glucoside	0			
240284	Kaempferol 3-O-glucosyl-rhamnosyl-galactoside	kaempferol 3-o-glucosyl-rhamnosyl-galactoside	kaempferol 3-o-glucosyl-rhamnosyl-galactoside	kaempferol 3-o-glucosyl-rhamnosyl-galactoside	kaempferol 3 o glucosyl rhamnosyl galactoside	0			
240285	Kaempferol 3-O-glucosyl-rhamnosyl-glucoside	kaempferol 3-o-glucosyl-rhamnosyl-glucoside	kaempferol 3-o-glucosyl-rhamnosyl-glucoside	kaempferol 3-o-glucosyl-rhamnosyl-glucoside	kaempferol 3 o glucosyl rhamnosyl glucoside	0			
240286	Kaempferol 3-O-glucuronide	kaempferol 3-o-glucuronide	kaempferol 3-o-glucuronide	kaempferol 3-o-glucuronide	kaempferol 3 o glucuronide	0			
240287	Kaempferol 3-O-rhamnoside	kaempferol 3-o-rhamnoside	kaempferol 3-o-rhamnoside	kaempferol 3-o-rhamnoside	kaempferol 3 o rhamnoside	0			
240288	Kaempferol 3-O-rhamnosyl-rhamnosyl-glucoside	kaempferol 3-o-rhamnosyl-rhamnosyl-glucoside	kaempferol 3-o-rhamnosyl-rhamnosyl-glucoside	kaempferol 3-o-rhamnosyl-rhamnosyl-glucoside	kaempferol 3 o rhamnosyl rhamnosyl glucoside	0			
240289	Kaempferol 3-O-rutinoside	kaempferol 3-o-rutinoside	kaempferol 3-o-rutinoside	kaempferol 3-o-rutinoside	kaempferol 3 o rutinoside	0			
240290	Kaempferol 3-O-sophoroside	kaempferol 3-o-sophoroside	kaempferol 3-o-sophoroside	kaempferol 3-o-sophoroside	kaempferol 3 o sophoroside	0			
240291	Kaempferol 3-O-sophoroside 7-O-glucoside	kaempferol 3-o-sophoroside 7-o-glucoside	kaempferol 3-o-sophoroside 7-o-glucoside	kaempferol 3-o-sophoroside 7-o-glucoside	kaempferol 3 o sophoroside 7 o glucoside	0			
240292	Kaempferol 3-O-xylosyl-glucoside	kaempferol 3-o-xylosyl-glucoside	kaempferol 3-o-xylosyl-glucoside	kaempferol 3-o-xylosyl-glucoside	kaempferol 3 o xylosyl glucoside	0			
240293	Kaempferol 3-O-xylosyl-rutinoside	kaempferol 3-o-xylosyl-rutinoside	kaempferol 3-o-xylosyl-rutinoside	kaempferol 3-o-xylosyl-rutinoside	kaempferol 3 o xylosyl rutinoside	0			
